id,user_id,recipe_id,rate
1,2,19,5
2,2,19,5
3,2,46,5
4,2,26,5
5,2,75,5
6,2,75,5
7,2,82,3
8,2,82,5
9,2,11,4
10,2,22,2
11,2,37,2
12,2,3,5
13,2,3,5
14,2,53,5
15,2,53,5
16,2,39,5
17,2,32,5
18,2,102,4
19,2,76,5
20,2,23,3
21,2,23,5
22,2,42,1
23,2,42,5
24,2,42,3
25,2,42,4
26,2,97,4
27,2,55,3
28,2,55,5
29,2,55,5
30,2,55,5
31,2,55,3
32,2,55,1
33,2,90,2
34,2,106,2
35,2,61,4
36,2,72,1
37,2,72,1
38,2,72,5
39,2,109,5
40,2,109,4
41,2,41,5
42,2,62,3
43,2,31,5
44,2,58,5
45,2,44,5
46,2,93,5
47,2,93,2
48,2,84,2
49,2,59,5
50,2,49,1
51,2,100,4
52,2,100,3
53,2,100,4
54,2,100,3
55,2,100,3
56,2,100,5
57,2,100,5
58,2,100,5
59,2,100,5
60,2,100,3
61,2,100,4
62,2,100,5
63,2,100,1
64,2,100,5
65,2,100,3
66,2,100,2
67,2,100,5
68,2,100,5
69,2,100,4
70,2,100,4
71,2,100,5
72,2,100,4
73,2,100,5
74,2,100,5
75,2,100,3
76,2,100,5
77,2,100,5
78,2,100,5
79,2,100,3
80,2,100,5
81,2,100,1
82,2,100,4
83,2,100,4
84,2,100,5
85,2,100,5
86,2,100,5
87,2,100,4
88,2,100,5
89,2,100,5
90,2,100,4
91,2,100,3
92,2,100,2
93,2,100,2
94,2,100,5
95,2,100,2
96,2,100,5
97,2,100,5
98,2,100,5
99,2,100,5
100,2,100,5
101,2,100,5
102,2,100,5
103,2,100,3
104,2,100,5
105,2,100,5
106,2,100,5
107,2,100,3
108,2,100,1
109,2,100,5
110,2,100,2
111,2,100,5
112,2,100,1
113,2,100,5
114,2,100,5
115,2,100,5
116,2,100,5
117,2,100,4
118,2,100,5
119,2,100,2
120,2,100,5
121,2,100,4
122,2,100,1
123,2,100,5
124,2,100,5
125,2,100,5
126,2,100,5
127,2,100,5
128,2,100,1
129,2,100,5
130,2,100,5
131,2,100,5
132,2,100,5
133,2,100,5
134,2,100,5
135,2,100,5
136,2,100,5
137,2,100,5
138,2,100,5
139,2,100,3
140,2,100,5
141,2,100,4
142,2,100,5
143,2,100,5
144,2,100,5
145,2,100,3
146,2,100,5
147,2,100,5
148,3,19,4
149,3,46,5
150,3,26,2
151,3,26,5
152,3,26,5
153,3,40,2
154,3,11,5
155,3,22,3
156,3,37,2
157,3,27,2
158,3,83,4
159,3,12,4
160,3,53,5
161,3,117,1
162,3,43,5
163,3,43,4
164,3,102,2
165,3,20,2
166,3,112,5
167,3,57,4
168,3,115,2
169,3,80,2
170,3,60,2
171,3,60,4
172,3,85,3
173,3,85,3
174,3,55,2
175,3,56,4
176,3,56,2
177,3,6,5
178,3,6,5
179,3,71,2
180,3,114,2
181,3,90,2
182,3,106,2
183,3,72,2
184,3,72,4
185,3,63,2
186,3,91,4
187,3,91,2
188,3,17,1
189,3,17,2
190,3,44,2
191,3,44,2
192,3,84,2
193,3,49,4
194,3,98,5
195,3,98,2
196,3,98,4
197,3,98,5
198,3,98,5
199,3,98,5
200,3,98,5
201,3,98,3
202,3,98,2
203,3,98,4
204,3,98,5
205,3,98,2
206,3,98,3
207,3,98,5
208,3,98,4
209,3,98,5
210,3,98,4
211,3,98,2
212,3,98,2
213,3,98,5
214,3,98,2
215,3,98,5
216,3,98,5
217,3,98,5
218,3,98,4
219,3,98,2
220,3,98,4
221,3,98,4
222,3,98,2
223,3,98,2
224,3,98,5
225,3,98,4
226,3,98,2
227,3,98,4
228,3,98,2
229,3,98,2
230,3,98,2
